ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time_fpga,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion264,1,1,0,0,64,0,2,1,2,1,2,1,0,0,0,74,37,60,66,0.000171216,69.2795,21165,816753,-1,82,89.42,P,N,Y
../benchmarks/depth_fusion265,1,1,0,0,64,0,2,1,2,1,2,1,0,0,1,74,37,60,66,0.000171216,69.29,21165,816753,-1,82,89.42,P,N,Y
../benchmarks/depth_fusion266,1,1,0,0,64,0,2,1,2,1,2,1,0,1,0,72,36,55,66,0.000171149,71.0965,20521,760204,-1,82,87.56,P,N,Y
../benchmarks/depth_fusion267,1,1,0,0,64,0,2,1,2,1,2,1,0,1,1,72,36,55,66,0.000171149,71.0906,20521,760204,-1,82,87.56,P,N,Y
../benchmarks/depth_fusion268,1,1,0,0,64,0,2,1,2,1,2,2,0,0,0,74,37,60,66,0.000183445,53.8715,21110,817249,-1,82,87.0,P,N,Y
../benchmarks/depth_fusion269,1,1,0,0,64,0,2,1,2,1,2,2,0,0,1,74,37,60,66,0.000183445,53.868,21110,817249,-1,82,87.0,P,N,Y
../benchmarks/depth_fusion270,1,1,0,0,64,0,2,1,2,1,2,2,0,1,0,72,36,56,66,0.000183374,54.7608,20481,760700,-1,82,86.08,P,N,Y
../benchmarks/depth_fusion271,1,1,0,0,64,0,2,1,2,1,2,2,0,1,1,72,36,56,66,0.000183374,54.7607,20481,760700,-1,82,86.08,P,N,Y
../benchmarks/depth_fusion288,1,1,0,0,64,1,0,0,1,1,1,1,0,0,0,69,37,74,31,4.76837e-05,999,50431,2409439,-1,39,-1,F,Y,N
../benchmarks/depth_fusion289,1,1,0,0,64,1,0,0,1,1,1,1,0,0,1,69,37,74,31,4.76837e-05,999,50431,2409439,-1,39,-1,F,Y,N
../benchmarks/depth_fusion290,1,1,0,0,64,1,0,0,1,1,1,1,0,1,0,70,38,82,31,4.76837e-05,999,49898,2543291,-1,39,-1,F,Y,N
../benchmarks/depth_fusion291,1,1,0,0,64,1,0,0,1,1,1,1,0,1,1,70,38,82,31,4.76837e-05,999,49937,2543291,-1,39,-1,F,Y,N
../benchmarks/depth_fusion304,1,1,0,0,64,1,0,0,2,1,1,1,0,0,0,88,49,95,55,4.76837e-05,999,44560,2725779,-1,70,-1,F,Y,N
../benchmarks/depth_fusion305,1,1,0,0,64,1,0,0,2,1,1,1,0,0,1,88,49,95,55,4.76837e-05,999,44560,2725779,-1,70,-1,F,Y,N
../benchmarks/depth_fusion306,1,1,0,0,64,1,0,0,2,1,1,1,0,1,0,88,48,99,55,4.14848e-05,999,52773,2746096,-1,70,-1,F,Y,N
../benchmarks/depth_fusion307,1,1,0,0,64,1,0,0,2,1,1,1,0,1,1,88,48,99,55,4.14848e-05,999,52685,2746073,-1,70,-1,F,Y,N
