ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time,logic,mem,ram,dsp,fmax,verif,error,fit
../benchmarks/depth_fusion220,1,1,0,0,64,1,1,0,2,1,2,2,0,0,1,78,42,58,55,4.58792e-05,999,32848,791310,-1,70,-1,F,Y,N
../benchmarks/depth_fusion221,1,1,0,0,64,1,1,0,2,1,2,2,0,1,1,71,36,66,55,4.26201e-05,809.584,19257,743947,246,70,136.78,P,N,Y
../benchmarks/depth_fusion240,1,1,0,0,64,1,1,1,1,1,1,1,0,0,1,60,32,50,31,0.000177526,4198.57,20374,924218,196,39,110.69,P,N,Y
../benchmarks/depth_fusion241,1,1,0,0,64,1,1,1,1,1,1,1,0,1,1,53,27,42,31,0.000159048,1030.05,12673,593184,149,39,125.67,P,N,Y
../benchmarks/depth_fusion242,1,1,0,0,64,1,1,1,1,1,1,1,1,0,1,51,25,98,31,0.000130704,1197.23,13628,2865181,397,39,127.35,P,N,Y
../benchmarks/depth_fusion243,1,1,0,0,64,1,1,1,1,1,1,1,1,1,1,51,25,90,31,0.00011393,1097.54,12849,2607621,397,39,117.59,P,N,Y
../benchmarks/depth_fusion244,1,1,0,0,64,1,1,1,1,1,1,2,0,0,1,60,32,44,31,0.000171282,3789.11,20444,670953,167,39,122.56,P,N,Y
../benchmarks/depth_fusion245,1,1,0,0,64,1,1,1,1,1,1,2,0,1,1,53,26,44,31,0.000159048,960.853,12637,592661,150,39,133.19,P,N,Y
../benchmarks/depth_fusion246,1,1,0,0,64,1,1,1,1,1,1,2,1,0,1,51,25,91,31,0.000122694,1207.85,12966,2616983,397,39,125.12,P,N,Y
../benchmarks/depth_fusion247,1,1,0,0,64,1,1,1,1,1,1,2,1,1,1,51,25,91,31,0.00011393,979.02,12853,2607156,397,39,130.36,P,N,Y
../benchmarks/depth_fusion248,1,1,0,0,64,1,1,1,1,1,2,1,0,0,1,60,32,43,31,0.000171282,3738.35,20552,671097,166,39,124.25,P,N,Y
